uuid,image1_index,image2_index,pair_id,method,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
f52cce03-2229-462c-ba19-31cb52e4a327,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,47.78761291503906,406.1947021484375,96.07469177246094,414.9402770996094,0.2130596935749054,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
eb5a4c02-b102-45a1-978d-64255dc39632,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,756.63720703125,32.598331451416016,787.2753295898438,0.2110741287469864,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
405ad365-ef58-4271-90fb-e62126a8ce4a,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,597.3451538085938,21.652069091796875,621.8915405273438,0.21066297590732574,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
76ab3722-ba70-459c-b80e-fa53e7a583f2,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,87.6106185913086,358.4071044921875,112.09529113769531,382.9334716796875,0.2100004404783249,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
489f240f-b404-4896-9c22-59b74ef49273,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,238.9380645751953,13.700164794921875,264.6065368652344,0.20935964584350586,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
900aace2-3f80-4a50-a4c3-64e12dad0de6,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,23.89380645751953,199.11505126953125,166.26837158203125,224.18690490722656,0.20793010294437408,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
1be21f22-c3e1-4479-b1d8-ce9ecc6fddb7,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,127.43363189697266,342.4778747558594,15.541967391967773,373.0013732910156,0.20735497772693634,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
009adb66-1a4f-41be-b100-144b2fabc2db,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,119.46903228759766,732.743408203125,16.30343246459961,764.3016357421875,0.20585907995700836,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
b68c0d7a-4835-4b12-a81b-dfa9b3fc59eb,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,23.89380645751953,406.1947021484375,175.58168029785156,381.4635925292969,0.20574748516082764,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
4eb44011-6d3b-4c80-9304-5a2f83dd8fb7,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,828.318603515625,133.49903869628906,865.897705078125,0.20567640662193298,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
